,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,police,police
4,pensais,thought
5,aide,help
6,genre,kind
7,laisser,let
8,car,because
9,laisse,leash
10,ville,city
11,chaque,each
12,parlé,speak
13,bébé,baby
14,longtemps,long time
15,vont,will
16,pendant,while
17,revoir,meet again
18,aucune,any
19,parle,speak
20,compris,understood
21,attention,Warning
22,pourrais,could
23,donner,give
24,type,type
25,leurs,their
26,donné,given
27,train,train
28,corps,body
29,endroit,place
30,écoute,listen
31,dont,whose
32,trouve,find
33,main,hand
34,première,first
35,côté,side
36,pouvoir,power
37,sois,be
38,matin,morning
39,tellement,so much
40,enfant,child
41,venu,came
42,suite,after
43,pardon,sorry
44,venez,come
45,devant,in front of
46,vers,towards
47,minutes,minutes
48,demandé,request
49,droit,law
50,aimerais,would like to
51,aujourd'hui,today
52,mari,husband
53,cause,cause
54,enfin,finally
55,espère,hope
56,eau,water
57,attendez,Wait
58,parti,left
59,nouvelle,new
60,boulot,job
61,arrêter,Stop
62,dirait,would say
63,terre,Earth
64,compte,account
65,donne,given
66,loin,far
67,fin,end
68,croire,believe
69,chérie,sweetheart
70,gros,large
71,plutôt,rather
72,filles,girls
73,bureau,office
